Code	max_depth	test_score
330590	10	0.9778567055868451
000400	10	0.9863183478165491
023530	5	0.9955921460913857
004000	5	0.9711431461920779
286940	5	0.9681136451541106
280360	5	0.9837128245095728
00499K	13	0.9207285942743497
004990	5	0.9860359731979575
005305	5	0.9641209280227359
005300	6	0.9847636485012587
011170	5	0.9752673044458608
002270	7	0.9951650661721231
071840	8	0.991990895414511
027740	6	0.8958638260836741
204320	17	0.9882349354423483
001080	4	0.9672033912980766
088980	5	0.9903602333772308
138040	5	0.984915564793145
008560	6	0.9764445978454238
000060	5	0.9833312271205543
090370	6	0.9926653550737667
017180	4	0.9301849253000228
009900	19	0.8990931691740903
012690	12	0.9630152668277712
005360	6	0.97102346282966
204210	5	0.9860667682153978
009680	7	0.9577009163084109
009200	8	0.9783988977670541
009580	6	0.9917150859360718
033920	19	0.992355406247074
